ra,dec,mjd,mag_auto,filter,exposure
190.65934316205903,-26.709834823940714,57098.33412920032,20.993378,g,c4d_150317_080629_ooi_g_ls9
190.6632628537989,-26.725094068225097,57821.12422740413,20.297386,u,c4d_170309_030042_ooi_u_v1
190.65591702027388,-26.730992308737985,57821.12526922859,21.1003,g,c4d_170309_030214_ooi_g_v1
190.65935845630813,-26.709830694965717,57821.12526922859,20.845558,g,c4d_170309_030214_ooi_g_v1
190.6647599388344,-26.72686853871856,57821.126317330636,20.991821,r,c4d_170309_030343_ooi_r_v1
190.6593498912014,-26.709824211835464,57821.126317330636,20.577345,r,c4d_170309_030343_ooi_r_v1
190.6725849730892,-26.72143649735226,57821.126317330636,21.059784,r,c4d_170309_030343_ooi_r_v1
190.67170935867068,-26.7124410570308,57821.126317330636,20.332355,r,c4d_170309_030343_ooi_r_v1
190.67259741936337,-26.721466764817404,57821.12734434428,20.427261,i,c4d_170309_030513_ooi_i_v1
190.6524567622252,-26.73269490930207,57821.12734434428,20.622253,i,c4d_170309_030513_ooi_i_v1
190.65329548176925,-26.733562328323956,57821.12734434428,21.152401,i,c4d_170309_030513_ooi_i_v1
190.667874336558,-26.71565150269864,57821.12734434428,20.506096,i,c4d_170309_030513_ooi_i_v1
190.65244041896904,-26.728266472749027,57821.12734434428,20.66423,i,c4d_170309_030513_ooi_i_v1
190.6593488677284,-26.70982677278822,57821.12734434428,20.394835,i,c4d_170309_030513_ooi_i_v1
190.67097445708245,-26.72925927480034,57821.12837520754,20.91756,z,c4d_170309_030645_ooi_z_v1
190.6574106846264,-26.719456529231614,57821.12837520754,20.815617,z,c4d_170309_030645_ooi_z_v1
190.65526944074145,-26.7270082859852,57821.12837520754,20.626186,z,c4d_170309_030645_ooi_z_v1
190.65327533815346,-26.7335578713655,57821.12837520754,20.650246,z,c4d_170309_030645_ooi_z_v1
190.65124304112433,-26.7334597205585,57821.12837520754,21.147232,z,c4d_170309_030645_ooi_z_v1
190.6612087242879,-26.733525038030972,57821.12837520754,20.8404,z,c4d_170309_030645_ooi_z_v1
190.66870582474962,-26.72686985873009,57821.12837520754,20.933987,z,c4d_170309_030645_ooi_z_v1
190.67343777180855,-26.71834979138238,57821.12837520754,21.156883,z,c4d_170309_030645_ooi_z_v1
190.67821706342053,-26.72878604180282,57821.12837520754,20.566105,z,c4d_170309_030645_ooi_z_v1
190.65934909813504,-26.709842569361772,57821.12837520754,20.466885,z,c4d_170309_030645_ooi_z_v1
190.6558829528,-26.730965611538608,57831.05208411859,20.928574,g,c4d_170319_011635_ooi_g_v1
190.6593548779278,-26.70983655399929,57831.05208411859,21.065248,g,c4d_170319_011635_ooi_g_v1
190.65585382732309,-26.73098388331022,57831.05296394555,20.865892,g,c4d_170319_011753_ooi_g_v1
190.6593456115259,-26.709824474019417,57831.05296394555,20.967798,g,c4d_170319_011753_ooi_g_v1
190.65933975809816,-26.709830929560578,57831.0538292774,20.468613,i,c4d_170319_011906_ooi_i_v1
190.65245628111643,-26.728218119434516,57831.0538292774,20.964556,i,c4d_170319_011906_ooi_i_v1
190.65244711698193,-26.732701041464523,57831.0538292774,20.722233,i,c4d_170319_011906_ooi_i_v1
190.6532915716534,-26.73353946560068,57831.0538292774,20.903828,i,c4d_170319_011906_ooi_i_v1
190.65747052007728,-26.719479807633057,57831.0538292774,21.09602,i,c4d_170319_011906_ooi_i_v1
190.66786702354582,-26.715657752052774,57831.0538292774,20.485237,i,c4d_170319_011906_ooi_i_v1
190.67258346593837,-26.72144632905925,57831.0538292774,20.3839,i,c4d_170319_011906_ooi_i_v1
190.65931820367135,-26.70984843285048,58205.03019249393,20.45088,r,c4d_180328_004328_ooi_r_v1
190.66782725324933,-26.715652516307124,58205.030570644885,20.701347,i,c4d_180328_004401_ooi_i_v1
190.65935484422008,-26.709833166038337,58205.030570644885,20.402952,i,c4d_180328_004401_ooi_i_v1
190.65525014276824,-26.727056715432614,58205.03096261434,20.446495,z,c4d_180328_004435_ooi_z_v1
190.67266991337507,-26.72152093486536,58205.03096261434,20.239729,z,c4d_180328_004435_ooi_z_v1
190.67168232632034,-26.712464072428016,58205.03945591813,20.33489,r,c4d_180328_005648_ooi_r_v1
190.65933420295883,-26.70985161716633,58205.03945591813,20.756016,r,c4d_180328_005648_ooi_r_v1
190.6678502355829,-26.715648924741824,58205.03983555501,20.236523,i,c4d_180328_005721_ooi_i_v1
190.67257519234238,-26.721390721420246,58205.03983555501,20.592293,i,c4d_180328_005721_ooi_i_v1
190.65935920446336,-26.7098332044843,58205.04022501409,20.642223,z,c4d_180328_005755_ooi_z_v1
